year;age;sex;maritl;race;education;jobclass;health;health_ins;logwage;wage
2006;18;Male;Never Married;White;  < HS Grad; Industrial;Regular o Mala; No;4.32;75.04
2004;24;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; No;4.26;70.48
2003;45;Male;Married;White; Some College; Industrial;Regular o Mala; Yes;4.88;130.98
2003;43;Male;Married;Asian; College Grad; Information;Muy Buena o Excelente; Yes;5.04;154.69
2005;50;Male;Divorced;White; HS Grad; Information;Regular o Mala; Yes;4.32;75.04
2008;54;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.85;127.12
2009;44;Male;Married;Other; Some College; Industrial;Muy Buena o Excelente; Yes;5.13;169.53
2008;30;Male;Never Married;Asian; Some College; Information;Regular o Mala; Yes;4.72;111.72
2006;41;Male;Never Married;Black; Some College; Information;Muy Buena o Excelente; Yes;4.78;118.88
2004;52;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.86;128.68
2007;45;Male;Divorced;White; Some College; Information;Regular o Mala; Yes;4.76;117.15
2007;34;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.4;81.28
2005;35;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.49;89.49
2003;39;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.9;134.71
2009;54;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.9;134.71
2009;51;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.51;90.48
2003;37;Male;Never Married;Asian; College Grad; Industrial;Muy Buena o Excelente; No;4.41;82.68
2007;56;Male;Married;White; College Grad; Industrial;Regular o Mala; Yes;4.86;129.16
2003;37;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.59;98.6
2005;40;Male;Divorced;White; HS Grad; Information;Muy Buena o Excelente; No;3.92;50.41
2009;75;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.45;85.38
2007;40;Male;Married;White; College Grad; Information;Muy Buena o Excelente; No;5.08;160.64
2006;38;Male;Never Married;White; HS Grad; Industrial;Regular o Mala; No;4.54;94.07
2006;43;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.43;84.05
2004;34;Male;Married;Other; HS Grad; Industrial;Regular o Mala; Yes;4.18;65.11
2008;57;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.76;116.27
2003;18;Male;Never Married;Black; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.26;70.48
2005;51;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.62;101.4
2008;33;Male;Never Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; No;4.4;81.28
2005;34;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.72;111.72
